590209;1783766;0.54;3
601764;1800874;0.24;2
608465;1800784;0.29;2
623603;1802199;0.74;3
598272;1789690;0.29;2
616570;1799720;0.4;3
642211;1804335;0.36;3
650765;1804913;0.27;2
647991;1803643;0.3;3
597612;1770935;0.22;2
603616;1814458;0.8;3
636172;1797805;0.12;2
623040;1787853;0.09;1
640664;1815656;0.18;2
740323;1923194;0.36;3
767304;1920446;0.25;2
756992;1917765;0.13;2
745984;1892134;0.45;3
739611;1903639;0.42;3
723993;1901504;0.38;3
732162;1896929;0.08;1
731382;1917168;242.06;8
759447;1883069;0.58;3
740182;1875970;0.24;2
741257;1866111;0.07;1
735773;1881973;76.47;7
649531;1824757;0.48;3
696780;1850700;0.76;3
679680;1859010;0.18;2
678820;1836010;0.07;1
615321;1750205;0.61;3
784302;1932426;0.3;3
801171;1995601;2.33;4
788247;1945137;0.73;3
797866;1886456;3.24;5
786280;1869733;0.99;3
786613;1867767;0.91;3
784794;1920388;1.8;4
930702;1959245;0.58;3
868917;1943569;0.86;3
891543;1910771;0.1;2
885859;1887929;0.87;3
854950;1856688;0.34;3
828786;1863613;0.13;2
808052;1879782;0.63;3
833207;1921230;1.02;4
830095;1916848;0.34;3
823870;1918193;0.12;2
818463;1919160;0.02;1
805302;1896468;0.53;3
835900;1941506;1.06;4
797309;1909583;0.31;3
817069;1873261;0.46;3
792750;2070700;0.2;2
668128;1819073;0.49;3
627900;1762450;1.91;4
634190;1759700;1.9;4
598914;1756738;1.48;4
613207;1755161;1.4;4
623119;1751457;1.52;4
632280;1752850;0.59;3
646380;1752363;1.23;4
576900;1726150;0.38;3
598327;1729140;0.24;2
603893;1733171;2.99;4
604238;1726942;1.21;4
607006;1736541;1.81;4
632195;1742962;5.17;5
618431;1739671;1.29;4
623932;1740430;0.86;3
617141;1739452;32.78;7
612383;1737958;0.43;3
632616;1732826;0.66;3
640600;1732680;2.15;4
621430;1714580;0.8;3
625369;1717836;4.32;5
627725;1718888;0.73;3
640700;1724100;1.13;4
630300;1721300;0.32;3
633560;1721350;4.66;5
653350;1731520;2.19;4
653500;1724730;0.27;2
663620;1718340;0.24;2
648895;1745983;0.09;1
634180;1742450;0.04;1
620920;1749150;5.26;5
652945;1745925;0.6;3
752423;1944147;0.07;1
739830;1937620;0.72;3
765202;1992425;0.3;3
761127;1964169;0.09;1
780344;1981560;0.1;2
783417;2028886;0.54;3
793304;1980197;1.74;4
527502;1844418;0.57;3
467061;1789730;0.59;3
474126;1781077;0.42;3
461874;1772140;0.01;1
465438;1769442;0.18;2
438042;1768989;1.14;4
438323;1768899;0.54;3
488946;1795592;0.66;3
502308;1777237;0.33;3
519165;1765984;0.21;2
507962;1765670;0.79;3
525404;1836476;0.79;3
464823;1754627;0.11;2
486461;1794442;1.41;4
520399;1787185;0.12;2
538220;1803576;0.45;3
540502;1774000;0.3;3
558790;1746716;0.86;3
540126;1762567;0.25;2
546646;1805897;0.36;3
567284;1766977;0.5;3
560270;1770997;0.63;3
515506;1863752;0.25;2
498300;1846569;0.12;2
499482;1900418;3.02;5
506207;1902436;1.57;4
520721;1891132;0.47;3
547440;1865168;0.65;3
621347;1876161;0.17;2
622893;1888596;0.42;3
652553;1875496;0.36;3
643765;1869064;0.32;3
542276;1897121;0.28;2
564719;1906390;0.49;3
602282;1902493;0.25;2
576435;1927718;0.11;2
622794;1929053;0.9;3
572074;1862402;0.22;2
558568;1855643;0.14;2
580260;1846330;0.83;3
592400;1844781;0.54;3
607251;1854688;0.39;3
617073;1830202;1.56;4
659215;1899283;0.4;3
677691;1891761;0.1;2
687359;1909388;0.08;1
692562;1926445;0.95;3
699323;1915968;0.43;3
711406;1919695;1.26;4
702325;1927938;1.52;4
690540;1897167;0.26;2
470821;1934594;0.96;3
528774;1938310;1.5;4
578890;1952649;1.06;4
605619;1949526;0.86;3
617649;1959815;0.08;1
634509;1947014;0.94;3
661848;1938896;0.01;1
692135;1947323;0.24;2
705680;1945979;0.2;2
481497;1848635;2.06;4
474188;1850605;0.01;1
461292;1882900;0.14;2
441871;1885884;0.13;2
446488;1868876;0.47;3
442182;1859950;0.41;3
444199;1836824;1.32;4
449203;1823147;0.15;2
440630;1815263;0.17;2
432415;1899303;0.27;2
428034;1885537;0.51;3
436269;1863923;1.7;4
394954;1953250;1.8;4
437662;1934279;0.07;1
388963;1962166;2.48;4
482528;2047923;0.36;3
523653;2049499;0.43;3
561100;2064095;0.38;3
570907;2052070;0.29;2
568971;2010283;0.83;3
569222;2009247;0.71;3
491330;2042611;0.27;2
539671;2047787;0.86;3
564382;2041329;1.06;4
561150;1997545;0.18;2
531727;1963899;0.73;3
467745;2041660;0.34;3
499913;2038116;0.78;3
553246;1990719;2.14;4
589302;1995284;0.3;3
443441;2030399;0.14;2
505140;2033778;1.35;4
555156;2027976;0.7;3
532639;1987226;0.23;2
566840;1993572;0.43;3
430273;2032134;1.02;4
471448;2021805;0.11;2
529422;2024565;0.24;2
510383;1978920;0.68;3
405442;2007671;0.29;2
444999;2006207;1.18;4
527563;2014059;0.65;3
405865;2005386;0.37;3
507404;2007883;0.32;3
453459;1984849;0.29;2
421377;1982659;0.96;3
923450;1947073;1.25;4
735430;1981380;0.57;3
725285;1988855;1.36;4
725270;1988840;1.38;4
724738;2000928;0.27;2
729620;2002705;0.43;3
714700;2014360;0.79;3
720384;2006577;0.32;3
720299;2003788;0.31;3
723305;2008715;0.48;3
754765;2008282;0.28;2
754765;2008282;0.28;2
750300;2000698;0.27;2
747547;2025563;0.42;3
721795;2043358;0.34;3
750120;2036618;0.56;3
750130;2059859;0.39;3
765370;2045885;1.56;4
740250;2056002;0.18;2
745826;2084199;0.85;3
729460;2084058;1.14;4
742825;2083580;0.9;3
729480;2093705;0.4;3
732090;2112690;0.25;2
732090;2112690;0.25;2
732650;2111075;313.68;8
732650;2111075;313.67;8
738115;2110490;0.19;2
731835;2152310;0.28;2
726418;2165557;0.46;3
741517;2207395;0.56;3
730234;2171909;0.01;1
733636;2165449;0.48;3
709651;2171883;1.5;4
701175;2164929;0.66;3
685460;2203200;1.36;4
694501;2206519;0.57;3
669756;2215691;1.72;4
663047;2220658;0.19;2
663047;2220658;0.19;2
723964;1958168;0.28;2
720482;1971535;0.77;3
720482;1971535;0.77;3
718740;1974300;1.63;4
711280;1983010;0.44;3
708845;1980591;0.88;3
706200;1993000;0.52;3
705500;1995000;0.52;3
701647;1991423;0.48;3
699180;2004000;0.14;2
695816;1997512;0.57;3
690809;2013575;0.74;3
684182;2029515;0.12;2
691606;2023975;0.49;3
679877;2043315;0.38;3
654322;2017926;0.62;3
672787;2043000;0.44;3
660630;2061390;0.24;2
659942;2065509;0.57;3
667446;2073771;1.84;4
668177;2068673;0.06;1
671790;2088965;0.81;3
675804;2101416;0.48;3
686125;2108301;0.01;1
708821;2061348;1.1;4
699196;2077372;0.5;3
698220;2078699;0.52;3
688584;2099641;0.64;3
686856;2118619;0.63;3
639823;2092681;0.03;1
628503;2098519;0.54;3
643757;2114585;0.77;3
668625;2140739;0.3;3
655821;2216559;0.02;1
622170;2298280;0.2;2
622841;2297521;1.1;4
569305;2322362;1.26;4
476305;2267753;1.32;4
616400;2130760;0.35;3
594108;2132947;0.11;2
628895;2167597;0.01;1
606438;2236024;0.27;2
595608;2182577;0.49;3
587870;2194670;0.42;3
583510;2221410;0.06;1
